Timestamp,Machine_ID,Temperature,Status
2026-09-04 22:04:10.490915,CNC-HYD-001,88,EMERGENCY
2026-09-04 22:04:38.153050,CNC-HYD-001,94,EMERGENCY
2026-09-04 22:04:43.162420,CNC-HYD-001,67,NORMAL
2026-09-04 22:04:48.182249,CNC-HYD-001,66,NORMAL
2026-09-04 22:04:53.189565,CNC-HYD-001,71,WARNING
2026-09-04 22:04:58.196319,CNC-HYD-001,82,WARNING
2026-09-04 22:05:03.203245,CNC-HYD-001,80,WARNING
2026-09-04 22:05:08.210667,CNC-HYD-001,73,WARNING
2026-09-04 22:05:13.219080,CNC-HYD-001,72,WARNING
2026-09-04 22:05:18.238243,CNC-HYD-001,85,WARNING
2026-09-04 22:05:23.244153,CNC-HYD-001,74,WARNING
2026-09-04 22:05:28.263459,CNC-HYD-001,69,NORMAL
2026-09-04 22:05:35.209454,CNC-HYD-001,92,EMERGENCY
2026-09-04 22:05:42.120640,CNC-HYD-001,95,EMERGENCY
2026-09-04 22:05:49.062090,CNC-HYD-001,92,EMERGENCY
2026-09-04 22:05:54.074198,CNC-HYD-001,62,NORMAL
2026-09-04 22:06:01.038361,CNC-HYD-001,90,EMERGENCY
2026-09-04 22:06:07.927319,CNC-HYD-001,94,EMERGENCY
2026-09-04 22:08:05.288811,CNC-HYD-001,85,WARNING
2026-09-04 22:08:10.296087,CNC-HYD-001,82,WARNING
2026-09-04 22:08:15.301416,CNC-HYD-001,62,NORMAL
2026-09-04 22:08:22.157641,CNC-HYD-001,89,EMERGENCY
2026-09-04 22:08:27.165122,CNC-HYD-001,72,WARNING
2026-09-04 22:08:33.836795,CNC-HYD-001,93,EMERGENCY
2026-09-04 22:11:44.434937,CNC-HYD-001,83,WARNING
2026-09-04 22:11:49.461790,CNC-HYD-001,83,WARNING
2026-09-04 22:11:54.470086,CNC-HYD-001,67,NORMAL
2026-09-04 22:11:59.476011,CNC-HYD-001,84,WARNING
2026-09-04 22:12:04.482888,CNC-HYD-001,66,NORMAL
2026-09-04 22:12:11.298058,CNC-HYD-001,87,EMERGENCY
2026-09-04 22:12:16.305683,CNC-HYD-001,67,NORMAL
2026-09-04 22:12:21.313467,CNC-HYD-001,68,NORMAL
2026-09-04 22:12:28.056653,CNC-HYD-001,90,EMERGENCY
